time,open,high,low,close
2025-07-10T23:45:00.000000000Z,1.1702,1.17046,1.17016,1.17046
2025-07-10T23:50:00.000000000Z,1.17047,1.17048,1.17012,1.17015
2025-07-10T23:55:00.000000000Z,1.17014,1.1702,1.16994,1.17018
2025-07-11T00:00:00.000000000Z,1.1702,1.17049,1.17014,1.17016
2025-07-11T00:05:00.000000000Z,1.17017,1.1702,1.16896,1.1693
2025-07-11T00:10:00.000000000Z,1.1693,1.16962,1.16928,1.16936
2025-07-11T00:15:00.000000000Z,1.16937,1.16958,1.16812,1.16812
2025-07-11T00:20:00.000000000Z,1.16812,1.16817,1.16744,1.16762
2025-07-11T00:25:00.000000000Z,1.16763,1.16794,1.16742,1.16774
2025-07-11T00:30:00.000000000Z,1.16774,1.16786,1.16684,1.16726
2025-07-11T00:35:00.000000000Z,1.16726,1.16732,1.16648,1.1671
2025-07-11T00:40:00.000000000Z,1.16712,1.16752,1.167,1.1671
2025-07-11T00:45:00.000000000Z,1.16708,1.1673,1.16686,1.16717
2025-07-11T00:50:00.000000000Z,1.16715,1.16727,1.16671,1.16676
2025-07-11T00:55:00.000000000Z,1.16674,1.1681,1.16653,1.16748
2025-07-11T01:00:00.000000000Z,1.16747,1.16774,1.16732,1.16739
2025-07-11T01:05:00.000000000Z,1.1674,1.1676,1.16686,1.16704
2025-07-11T01:10:00.000000000Z,1.16705,1.16748,1.16704,1.16734
2025-07-11T01:15:00.000000000Z,1.16734,1.16782,1.16734,1.16764
2025-07-11T01:20:00.000000000Z,1.16765,1.1677,1.16732,1.1676
2025-07-11T01:25:00.000000000Z,1.16762,1.16797,1.16748,1.1678
2025-07-11T01:30:00.000000000Z,1.16781,1.16812,1.16776,1.16792
2025-07-11T01:35:00.000000000Z,1.16792,1.16832,1.16784,1.16826
2025-07-11T01:40:00.000000000Z,1.16826,1.1686,1.16813,1.16832
2025-07-11T01:45:00.000000000Z,1.16832,1.16839,1.16786,1.16808
2025-07-11T01:50:00.000000000Z,1.16806,1.16814,1.16765,1.16777
2025-07-11T01:55:00.000000000Z,1.16777,1.1678,1.1674,1.16754
2025-07-11T02:00:00.000000000Z,1.16755,1.16771,1.16741,1.16752
2025-07-11T02:05:00.000000000Z,1.16752,1.16765,1.16734,1.16752
2025-07-11T02:10:00.000000000Z,1.16752,1.16756,1.16738,1.16748
2025-07-11T02:15:00.000000000Z,1.16748,1.16765,1.1674,1.16746
2025-07-11T02:20:00.000000000Z,1.16749,1.16767,1.16736,1.16756
2025-07-11T02:25:00.000000000Z,1.16757,1.1678,1.16756,1.16761
2025-07-11T02:30:00.000000000Z,1.16762,1.16762,1.16734,1.16751
2025-07-11T02:35:00.000000000Z,1.16752,1.16776,1.16751,1.16759
2025-07-11T02:40:00.000000000Z,1.1676,1.16762,1.16736,1.16756
2025-07-11T02:45:00.000000000Z,1.16758,1.1676,1.16726,1.16729
2025-07-11T02:50:00.000000000Z,1.16728,1.16744,1.16726,1.1673
2025-07-11T02:55:00.000000000Z,1.1673,1.16732,1.16708,1.1671
2025-07-11T03:00:00.000000000Z,1.1671,1.16732,1.16704,1.16732
2025-07-11T03:05:00.000000000Z,1.16732,1.16743,1.16728,1.16737
2025-07-11T03:10:00.000000000Z,1.16735,1.16763,1.16731,1.16758
2025-07-11T03:15:00.000000000Z,1.16758,1.1678,1.16758,1.16776
2025-07-11T03:20:00.000000000Z,1.16776,1.16798,1.16774,1.16793
2025-07-11T03:25:00.000000000Z,1.16794,1.16824,1.16792,1.16822
2025-07-11T03:30:00.000000000Z,1.16822,1.16824,1.16812,1.16818
2025-07-11T03:35:00.000000000Z,1.16818,1.16835,1.16811,1.16828
2025-07-11T03:40:00.000000000Z,1.16828,1.16846,1.16822,1.16828
2025-07-11T03:45:00.000000000Z,1.16829,1.1684,1.16822,1.16822
2025-07-11T03:50:00.000000000Z,1.16822,1.16826,1.16798,1.16812
2025-07-11T03:55:00.000000000Z,1.16812,1.16832,1.16808,1.16817
2025-07-11T04:00:00.000000000Z,1.16816,1.16818,1.16798,1.16804
2025-07-11T04:05:00.000000000Z,1.16804,1.1683,1.16803,1.16816
2025-07-11T04:10:00.000000000Z,1.16815,1.16815,1.16792,1.16792
2025-07-11T04:15:00.000000000Z,1.16792,1.16792,1.16764,1.16766
2025-07-11T04:20:00.000000000Z,1.16767,1.16767,1.16741,1.16745
2025-07-11T04:25:00.000000000Z,1.16744,1.16745,1.16694,1.167
2025-07-11T04:30:00.000000000Z,1.167,1.16718,1.16693,1.16712
2025-07-11T04:35:00.000000000Z,1.16712,1.16746,1.16711,1.16736
2025-07-11T04:40:00.000000000Z,1.16736,1.16738,1.16708,1.16713
2025-07-11T04:45:00.000000000Z,1.16714,1.16735,1.16712,1.16726
2025-07-11T04:50:00.000000000Z,1.16725,1.16756,1.16721,1.16754
2025-07-11T04:55:00.000000000Z,1.16754,1.1677,1.16752,1.16764
2025-07-11T05:00:00.000000000Z,1.16762,1.1678,1.16758,1.1678
2025-07-11T05:05:00.000000000Z,1.1678,1.16786,1.16764,1.16773
2025-07-11T05:10:00.000000000Z,1.16774,1.1679,1.16751,1.16776
2025-07-11T05:15:00.000000000Z,1.16776,1.1681,1.16774,1.16809
2025-07-11T05:20:00.000000000Z,1.1681,1.16826,1.16802,1.16824
2025-07-11T05:25:00.000000000Z,1.16825,1.16828,1.16802,1.16807
2025-07-11T05:30:00.000000000Z,1.16806,1.16824,1.16798,1.16824
2025-07-11T05:35:00.000000000Z,1.16824,1.16842,1.16814,1.16828
2025-07-11T05:40:00.000000000Z,1.16827,1.16831,1.16804,1.16804
2025-07-11T05:45:00.000000000Z,1.16803,1.16814,1.168,1.16804
2025-07-11T05:50:00.000000000Z,1.16806,1.16806,1.16764,1.16766
2025-07-11T05:55:00.000000000Z,1.16769,1.16791,1.16764,1.16782
2025-07-11T06:00:00.000000000Z,1.16782,1.16782,1.16704,1.16744
2025-07-11T06:05:00.000000000Z,1.16745,1.16769,1.16726,1.16763
2025-07-11T06:10:00.000000000Z,1.16763,1.16775,1.16738,1.16762
2025-07-11T06:15:00.000000000Z,1.16763,1.168,1.16763,1.16797
2025-07-11T06:20:00.000000000Z,1.16798,1.16823,1.16794,1.16806
2025-07-11T06:25:00.000000000Z,1.16806,1.1683,1.16804,1.16808
2025-07-11T06:30:00.000000000Z,1.16806,1.16824,1.16758,1.1677
2025-07-11T06:35:00.000000000Z,1.16771,1.16816,1.16771,1.16795
2025-07-11T06:40:00.000000000Z,1.16794,1.16824,1.16778,1.16812
2025-07-11T06:45:00.000000000Z,1.16812,1.16848,1.168,1.16818
2025-07-11T06:50:00.000000000Z,1.16818,1.1684,1.16806,1.16819
2025-07-11T06:55:00.000000000Z,1.1682,1.1682,1.16744,1.16749
2025-07-11T07:00:00.000000000Z,1.16752,1.1682,1.16752,1.1682
2025-07-11T07:05:00.000000000Z,1.16819,1.16892,1.16812,1.16872
2025-07-11T07:10:00.000000000Z,1.16872,1.1688,1.16852,1.16873
2025-07-11T07:15:00.000000000Z,1.16872,1.16958,1.16872,1.16944
2025-07-11T07:20:00.000000000Z,1.16944,1.16958,1.16923,1.16952
2025-07-11T07:25:00.000000000Z,1.16952,1.16958,1.16932,1.16948
2025-07-11T07:30:00.000000000Z,1.16947,1.16948,1.1692,1.16934
2025-07-11T07:35:00.000000000Z,1.16934,1.16939,1.16916,1.16928
2025-07-11T07:40:00.000000000Z,1.16928,1.16944,1.16917,1.16922
2025-07-11T07:45:00.000000000Z,1.16924,1.16924,1.16902,1.16902
2025-07-11T07:50:00.000000000Z,1.16902,1.1691,1.16852,1.16852
2025-07-11T07:55:00.000000000Z,1.16854,1.16896,1.16838,1.16888
2025-07-11T08:00:00.000000000Z,1.1689,1.16902,1.16844,1.16848
2025-07-11T08:05:00.000000000Z,1.16848,1.16874,1.16824,1.16864
2025-07-11T08:10:00.000000000Z,1.16863,1.1692,1.16843,1.16896
2025-07-11T08:15:00.000000000Z,1.16897,1.16922,1.16894,1.16907
2025-07-11T08:20:00.000000000Z,1.16906,1.16921,1.16861,1.16874
2025-07-11T08:25:00.000000000Z,1.16874,1.16894,1.16854,1.16858
2025-07-11T08:30:00.000000000Z,1.16859,1.1688,1.1684,1.16861
2025-07-11T08:35:00.000000000Z,1.16862,1.16871,1.16844,1.16851
2025-07-11T08:40:00.000000000Z,1.1685,1.16871,1.16843,1.16852
2025-07-11T08:45:00.000000000Z,1.1685,1.16866,1.16828,1.1684
2025-07-11T08:50:00.000000000Z,1.16838,1.16853,1.16798,1.168
2025-07-11T08:55:00.000000000Z,1.168,1.16836,1.16798,1.16822
2025-07-11T09:00:00.000000000Z,1.16822,1.16854,1.16812,1.16846
2025-07-11T09:05:00.000000000Z,1.16847,1.1685,1.16826,1.16848
2025-07-11T09:10:00.000000000Z,1.16848,1.16887,1.16847,1.16875
2025-07-11T09:15:00.000000000Z,1.16876,1.16888,1.16859,1.16864
2025-07-11T09:20:00.000000000Z,1.16865,1.16888,1.16846,1.16862
2025-07-11T09:25:00.000000000Z,1.16862,1.16865,1.16825,1.16827
2025-07-11T09:30:00.000000000Z,1.16826,1.16834,1.16814,1.16822
2025-07-11T09:35:00.000000000Z,1.16823,1.16874,1.16822,1.16872
2025-07-11T09:40:00.000000000Z,1.16872,1.16928,1.16864,1.16916
2025-07-11T09:45:00.000000000Z,1.16916,1.16916,1.16891,1.16908
2025-07-11T09:50:00.000000000Z,1.16909,1.16928,1.16898,1.16914
2025-07-11T09:55:00.000000000Z,1.16915,1.16954,1.16913,1.1695
2025-07-11T10:00:00.000000000Z,1.1695,1.16969,1.16943,1.16947
2025-07-11T10:05:00.000000000Z,1.16946,1.16962,1.16926,1.16926
2025-07-11T10:10:00.000000000Z,1.16928,1.16952,1.16927,1.16942
2025-07-11T10:15:00.000000000Z,1.16943,1.16956,1.16922,1.1694
2025-07-11T10:20:00.000000000Z,1.1694,1.16954,1.16934,1.16939
2025-07-11T10:25:00.000000000Z,1.1694,1.16944,1.16927,1.16936
2025-07-11T10:30:00.000000000Z,1.16936,1.16951,1.16892,1.16894
2025-07-11T10:35:00.000000000Z,1.16893,1.16904,1.16876,1.16892
2025-07-11T10:40:00.000000000Z,1.16893,1.1693,1.16893,1.16912
2025-07-11T10:45:00.000000000Z,1.16912,1.1692,1.1689,1.16897
2025-07-11T10:50:00.000000000Z,1.16898,1.16928,1.16888,1.16924
2025-07-11T10:55:00.000000000Z,1.16922,1.16942,1.16916,1.16927
2025-07-11T11:00:00.000000000Z,1.16928,1.16958,1.16911,1.16958
2025-07-11T11:05:00.000000000Z,1.16958,1.16996,1.16946,1.16994
2025-07-11T11:10:00.000000000Z,1.16992,1.17012,1.16965,1.16966
2025-07-11T11:15:00.000000000Z,1.16966,1.16974,1.16936,1.16938
2025-07-11T11:20:00.000000000Z,1.16938,1.16943,1.16902,1.16908
2025-07-11T11:25:00.000000000Z,1.16908,1.16912,1.16874,1.16884
2025-07-11T11:30:00.000000000Z,1.16884,1.16932,1.16881,1.16919
2025-07-11T11:35:00.000000000Z,1.1692,1.1694,1.16916,1.16924
2025-07-11T11:40:00.000000000Z,1.16926,1.16954,1.16917,1.16928
2025-07-11T11:45:00.000000000Z,1.16929,1.16949,1.16928,1.16939
2025-07-11T11:50:00.000000000Z,1.1694,1.16954,1.16894,1.16896
2025-07-11T11:55:00.000000000Z,1.16895,1.16909,1.16863,1.1688
2025-07-11T12:00:00.000000000Z,1.16878,1.169,1.16864,1.16886
2025-07-11T12:05:00.000000000Z,1.16884,1.16888,1.1683,1.16832
2025-07-11T12:10:00.000000000Z,1.1683,1.16874,1.16824,1.16852
2025-07-11T12:15:00.000000000Z,1.16853,1.16864,1.16846,1.16856
2025-07-11T12:20:00.000000000Z,1.16855,1.16878,1.16827,1.16873
2025-07-11T12:25:00.000000000Z,1.16874,1.16906,1.16868,1.16886
2025-07-11T12:30:00.000000000Z,1.16887,1.16954,1.1688,1.16954
2025-07-11T12:35:00.000000000Z,1.16954,1.17004,1.16935,1.16936
2025-07-11T12:40:00.000000000Z,1.16936,1.1694,1.16874,1.16896
2025-07-11T12:45:00.000000000Z,1.16896,1.16928,1.16878,1.16888
2025-07-11T12:50:00.000000000Z,1.16887,1.16902,1.16857,1.16863
2025-07-11T12:55:00.000000000Z,1.16866,1.1689,1.1685,1.16886
